기간,구분,집계관광지수,합계,유료관광지,유료관광지,유료관광지,무료관광지,무료관광지,무료관광지,비고
기간,구분,집계관광지수,합계,소계,내국인,외국인,소계,내국인,외국인,비고
2016,합계,14,"18,216,572","15,849,038","11,482,926","4,366,112","2,367,534","1,936,239","431,295",-
2016,종로구,4,"9,064,694","9,064,694","5,508,788","3,555,906",-,-,-,경복궁종묘창경궁창덕궁
2016,중구,3,"3,913,660","1,546,126","1,268,344","277,782","2,367,534","1,936,239","431,295",덕수궁남산골한옥마을서울시립미술관본관
2016,용산구,1,"3,396,259","3,396,259","3,212,410","183,849",-,-,-,국립중앙박물관
2016,노원구,1,"95,281","95,281","94,844",437,-,-,-,태릉·강릉·조선왕릉전시관
2016,서대문구,2,"991,326","991,326","932,240","59,086",-,-,-,서대문자연사박물관서대문형무소역사관
2016,마포구,1,"383,953","383,953","100,365","283,588",-,-,-,트릭아이미술관
2016,서초구,1,37681,37681,37525,156,-,-,-,헌릉·인릉
2016,강남구,1,333718,333718,328410,5308,-,-,-,선릉·정릉
,,,,,,,,,,
